ZONEID,ZONELABEL,cycletowork,age25to34,travel10to20km,zerocarsvans
E05000137,Highgate,7.325609,21.2,5.4,37.9
E05000138,Holborn and Covent Garden,2.952337,26.9,5,68.8
E05000139,Kentish Town,6.945996,33,4.5,56
E05000140,Kilburn,2.62535,33,8.1,60.7
E05000141,King's Cross,3.001028,24.8,3.9,72.1
E05000142,Regent's Park,3.092591,24.5,4.9,62.8
E05000143,St Pancras and Somers Town,2.650533,25.6,4.7,65.3
E05000144,Swiss Cottage,2.695391,34.9,9.1,44
E05000145,West Hampstead,3.125924,41.6,9.4,51.8
E05000146,Addiscombe,0.996755,29.4,36.1,36.6
E05000147,Ashburton,0.715227,16,26.7,20
E05000148,Bensham Manor,0.816604,22.3,25.4,30.8
E05000149,Broad Green,0.745987,26.2,24.2,40.1
E05000150,Coulsdon East,0.563867,13.2,13.7,11.2
E05000151,Coulsdon West,0.610874,13.7,16.9,8.4
E05000152,Croham,0.920733,28.4,35.4,23
E05000153,Fairfield,0.625396,35,37.7,41.5
E05000154,Fieldway,0.189625,18,19.8,36
E05000155,Heathfield,0.421161,17.3,25.1,12.5
E05000156,Kenley,0.827753,17.7,17.4,11.6
E05000157,New Addington,0.177644,17.3,18,28.2
E05000158,Norbury,1.114556,22.7,27,26.1
E05000159,Purley,0.720502,21.8,29.5,15.7
E05000160,Sanderstead,0.595041,12.3,21.9,7.3
E05000161,Selhurst,0.839161,25.4,28,42.4
E05000162,Selsdon and Ballards,0.429718,12.6,23.9,7.3
E05000163,Shirley,0.698681,15,26.2,17.2
E05000164,South Norwood,1.296463,23.8,34.3,37.2
E05000165,Thornton Heath,0.817926,19.5,26.7,35
E05000166,Upper Norwood,1.687091,21.7,25.8,27.3
E05000167,Waddon,0.902512,24.8,27,30.3
E05000168,West Thornton,0.815239,22.3,22.5,31.7
E05000169,Woodside,0.927306,21.5,30.6,33.4
E05000170,Acton Central,3.655509,28.9,18.3,35.9
E05000171,Cleveland,1.951497,22.7,29.3,24.4
E05000172,Dormers Wells,0.655217,24.2,18.6,28.6
E05000173,Ealing Broadway,2.019749,32,33.2,31.1
E05000174,Ealing Common,2.850976,30.7,31.4,29.2
E05000175,East Acton,3.127172,33.3,16.4,41.9
E05000176,Elthorne,2.642092,28.5,27.9,31.4
E05000177,Greenford Broadway,1.012921,26.4,21.3,27.3
